subject,content
Re: EOL Credit Responses 2/1,Tana: Neither ANR Pipeline Company nor Kimball Energy Corporation may trade U.S. power products. ANR Pipeline Company is not a current trading partner and is not listed on the FERC lists of authorized power marketers. Kimball Energy Corporation has been barred by credit and thus we are barring them as well. Leslie
EOL Credit Responses 1/31,Please find attached Credit's EOL responses for 1/31/00. Regards Molly
EOL Credit Responses 1/26,Please find attached Credit's EOL responses for 1/26/00. Regards Molly
EOL Credit Responses 1/25,Please find attached Credit's EOL responses for 1/25/00. Regards Molly
EOL Credit Responses 1/24,Please find attached Credit's EOL responses for 1/24/00. Regards Molly
EOL Credit Responses 1/21,Please find attached Credit's EOL responses for 1/21/00. Regards Molly
EOL Credit Responses 1/19,Please find attached Credit's EOL responses for 1/19/00. Regards Molly
EOL Credit Responses 1/17,Please find attached Credit's EOL responses for 1/17/00. Regards Molly
EOL Credit Responses 1/14,Please find attached Credit's EOL responses for 1/14/00. Regards Molly
EOL Credit Responses 1/13,Please find attached Credit's EOL responses for 1/13/00. Regards Molly
EOL Credit Responses 1/12,Please find attached Credit's EOL responses for 1/12/00. Regards Molly
EOL Credit Responses 1/11,Please find attached Credit's EOL responses for 1/11/00. Regards Molly
EOL Credit Responses 1/10,Please find attached Credit's EOL responses for 1/10/00. Please note a new form was utilized effective today that has consolidated the US Coal Physical and US Paper Financial products. Regards Molly
EOL Credit Responses 1/6,Please find attached Credit's EOL responses for 1/6/00. Regards Molly
EOL Credit Responses 1/5,Please find attached Credit's EOL responses for 1/5/00. Regards Molly
EOL Credit Responses 1/4,Please find attached Credit's EOL responses for 1/4/00. Regards Molly
EOL Credit Responses 12/21,Please find attached Credit's EOL responses for 12/21. Regards Molly
EOL Credit Responses 12/20,Please find attached Credit's EOL responses for 12/20. Regards Molly
EOL Credit Responses 12/16,Please find attached Credit's EOL responses for 12/16. Regards Molly
Re: EOL Credit Responses 12/15,No trades for any of the three power products for Petro Canada Oil & Gas. Leslie Hansen
EOL Credit Responses 12/15,Please find attached Credit's EOL responses for 12/15. Regards Molly
EOL Credit Responses 12/14,Please find attached Credit's EOL responses for 12/14. Regards Molly
EOL Credit Responses 12/10,Please find attached Credit's EOL responses for 12/10. Regards Molly
EOL Credit Responses 12/9,Please find attached Credit's EOL responses for 12/9. Regards Molly
EOL Credit Responses,Please find attached Credit's EOL responses for 12/8. Regards Molly
Credit Approvals Week Ending 12/3,Frank Please find our approvals from last week consolidated on the attached file. This should be helpful in reviewing the activity. Regards Molly
Credit Approvals,Please find attached Credit's EOL responses for today. Regards Molly
EOL 10/31/00,Here are the approvals for 10/31/00
EOL 10/27/00,Here are the approvals for 10/27/00
CP 02-28-01 ammendment.xls,Please see attahced ammendment. Thanks. Aparna
Re: EOL Credit Responses 09/21/00,Tana: No change to Aquila's profile for US physical power. Leslie
DTE Energy Trading,Tana: DTE Energy Trading should be open for all US physical power products. They can trade pursuant to the existing power master. Leslie
Re: EOL Credit Responses 09/01/00,The Power Trading Legal Group is perfectly happy with everyone on this list. :) Shari
Declined: Lunch ...,I know the online team is looking for people with paralegal experience. Your contact would be Lisa Lees. Lunch some other time? Thursday or Friday? I already have plans today and tomorrow...
Booz Allen & Hamilton Inc.,Any conflicts?
New Power Confirms,I have reviewed the binder of confirms and have prepared a list of the missing or unexecuted confirms. Kim. if you could please review this short list and provide me copies of the missing confirms and/or if we have received copies of any of the unexecuted confirms since you provided these confirms to me I would be most appreciative.
BNP Paribas,I got a call from my buddy Mike Mulligan with Paribas in NY last night asking me to see if I can't check with you on the status of the guaranty he is trying to get in place with Enron Metals Limited. He says he has been trying to get this in place with London for some time. Is there some particular problem holding up this guaranty? Is there anthing I can do to faciliate getting this guaranty to Paribas? Please let me know...
Looking for signed NDAs,Do you have copies of any of the following NDAs? At the Moment True Exchange BizBots
VMAC NDA,Attached is the proposed form of NDA for your approval.
Chase/Mahonia Documents,P.S. The Mahonia ISDA Paragraph 13 to the Credit Support Annex is attached to the Confirm.
Amerex,Bob Shults is Asking about that amendment to the Amerex Fee Agreement. Can you help him...
EnronOnline and Offline NDA Lists,Attached please find the referenced lists for your review.
Williams Energy ISDA Master,Just a note... I have not gotten that ISDA Master out yet because there are some things in the credit worksheet that don't jive with the credit terms in the current master as well as credit terms generally consistent on this side of the Atlantic. I have asked Jay Williams in our Credit Dept. here to get with the credit person there in London who worked up the credit worksheet to clear up the credit terms. I have drafted the ISDA with everything except making the credit choices so it sits there waiting for credit. Just wanted to keep you updated...
Re: Mission Successful!,Received email!
Re: Hello from Cincinnati,I'll be leaving for New Orleans in about 30 minutes for our legal conference. It was fun visiting with you too. I miss you terribly.
Re: Need Information for Audit,Any update yet?
